hospede_id,pais,uf,cidade,faixa_etaria,segmento
1,Brasil,CE,Fortaleza,46-60,Corp
2,Brasil,RJ,Niterói,36-45,Lazer
3,Brasil,MG,Belo Horizonte,26-35,Lazer
4,Brasil,DF,Brasília,26-35,Lazer
5,Brasil,ES,Vitória,26-35,Lazer
6,Brasil,PE,Recife,26-35,Corp
7,Brasil,SC,Florianópolis,18-25,Corp
8,Brasil,BA,Salvador,46-60,Lazer
9,Brasil,SC,Florianópolis,26-35,Lazer
10,Brasil,GO,Goiânia,46-60,Corp
11,Brasil,ES,Vitória,60+,Lazer
12,Brasil,SC,Florianópolis,26-35,Lazer
13,Brasil,CE,Fortaleza,60+,Lazer
14,Brasil,GO,Goiânia,26-35,Lazer
15,Brasil,SP,Campinas,36-45,Lazer
16,Brasil,BA,Salvador,60+,Lazer
17,Brasil,SP,Campinas,46-60,Lazer
18,Brasil,RJ,Niterói,26-35,Lazer
19,Brasil,ES,Vitória,26-35,Lazer
20,Brasil,RJ,Niterói,26-35,Lazer
21,Brasil,SP,Campinas,60+,Lazer
22,Brasil,SC,Florianópolis,26-35,Lazer
23,Brasil,SP,Campinas,36-45,Lazer
24,Brasil,GO,Goiânia,26-35,Lazer
25,Brasil,RJ,Rio de Janeiro,26-35,Lazer
26,Brasil,PR,Curitiba,26-35,Lazer
27,Brasil,RJ,Rio de Janeiro,26-35,Lazer
28,Brasil,RJ,Rio de Janeiro,36-45,Lazer
29,Brasil,DF,Brasília,26-35,Lazer
30,Brasil,RJ,Rio de Janeiro,26-35,Lazer
31,Brasil,GO,Goiânia,36-45,Lazer
32,Brasil,ES,Vitória,26-35,Lazer
33,Brasil,PR,Curitiba,46-60,Lazer
34,Brasil,GO,Goiânia,36-45,Corp
35,Brasil,BA,Salvador,36-45,Lazer
36,Brasil,BA,Salvador,26-35,Lazer
37,Brasil,BA,Salvador,18-25,Lazer
38,Brasil,RS,Porto Alegre,46-60,Corp
39,Brasil,DF,Brasília,46-60,Lazer
40,Brasil,CE,Fortaleza,26-35,Lazer
41,Brasil,SP,Campinas,26-35,Corp
42,Brasil,GO,Goiânia,26-35,Lazer
43,Brasil,ES,Vitória,36-45,Corp
44,Brasil,DF,Brasília,26-35,Lazer
45,Brasil,PR,Curitiba,60+,Corp
46,Brasil,SP,São Paulo,18-25,Corp
47,Brasil,PE,Recife,60+,Lazer
48,Brasil,RS,Porto Alegre,18-25,Corp
49,Brasil,MG,Belo Horizonte,26-35,Lazer
50,Brasil,DF,Brasília,26-35,Lazer
51,Brasil,RJ,Rio de Janeiro,26-35,Lazer
52,Brasil,PE,Recife,60+,Lazer
53,Brasil,ES,Vitória,26-35,Lazer
54,Brasil,ES,Vitória,18-25,Lazer
55,Brasil,RJ,Rio de Janeiro,60+,Lazer
56,Brasil,SP,São Paulo,26-35,Lazer
57,Brasil,SC,Florianópolis,18-25,Lazer
58,Brasil,CE,Fortaleza,18-25,Lazer
59,Brasil,RJ,Niterói,26-35,Lazer
60,Brasil,RS,Porto Alegre,46-60,Lazer
61,Brasil,SC,Florianópolis,18-25,Lazer
62,Brasil,SP,Campinas,46-60,Corp
63,Brasil,RS,Porto Alegre,26-35,Corp
64,Brasil,PE,Recife,26-35,Lazer
65,Brasil,PR,Curitiba,36-45,Lazer
66,Brasil,SP,Campinas,46-60,Lazer
67,Brasil,PE,Recife,36-45,Lazer
68,Brasil,GO,Goiânia,26-35,Lazer
69,Brasil,PR,Curitiba,18-25,Corp
70,Brasil,BA,Salvador,46-60,Lazer
71,Brasil,DF,Brasília,36-45,Lazer
72,Brasil,RJ,Rio de Janeiro,26-35,Lazer
73,Brasil,MG,Belo Horizonte,26-35,Corp
