hotel_id,data_id,tipo_quarto,quartos_total,quartos_manutencao,quartos_disponiveis
1,20240101,Standard,55,2,53
1,20240102,Standard,55,2,53
1,20240103,Standard,55,0,55
1,20240104,Standard,55,1,54
1,20240105,Standard,55,0,55
1,20240106,Standard,55,1,54
1,20240107,Standard,55,1,54
1,20240108,Standard,55,3,52
1,20240109,Standard,55,2,53
1,20240110,Standard,55,0,55
1,20240111,Standard,55,1,54
1,20240112,Standard,55,3,52
1,20240113,Standard,55,1,54
1,20240114,Standard,55,0,55
1,20240115,Standard,55,1,54
1,20240116,Standard,55,0,55
1,20240117,Standard,55,0,55
1,20240118,Standard,55,0,55
1,20240119,Standard,55,1,54
1,20240120,Standard,55,3,52
1,20240121,Standard,55,1,54
1,20240122,Standard,55,1,54
1,20240123,Standard,55,0,55
1,20240124,Standard,55,2,53
1,20240125,Standard,55,0,55
1,20240126,Standard,55,2,53
1,20240127,Standard,55,2,53
1,20240128,Standard,55,1,54
1,20240129,Standard,55,2,53
1,20240130,Standard,55,1,54
1,20240131,Standard,55,1,54
1,20240201,Standard,55,1,54
1,20240202,Standard,55,0,55
1,20240203,Standard,55,0,55
1,20240204,Standard,55,0,55
1,20240205,Standard,55,0,55
1,20240206,Standard,55,1,54
1,20240207,Standard,55,0,55
1,20240208,Standard,55,0,55
1,20240209,Standard,55,1,54
1,20240210,Standard,55,3,52
1,20240211,Standard,55,1,54
1,20240212,Standard,55,1,54
1,20240213,Standard,55,2,53
1,20240214,Standard,55,2,53
1,20240215,Standard,55,1,54
1,20240216,Standard,55,3,52
1,20240217,Standard,55,1,54
1,20240218,Standard,55,3,52
1,20240219,Standard,55,1,54
1,20240220,Standard,55,0,55
1,20240221,Standard,55,1,54
1,20240222,Standard,55,2,53
1,20240223,Standard,55,3,52
1,20240224,Standard,55,0,55
1,20240225,Standard,55,1,54
1,20240226,Standard,55,1,54
1,20240227,Standard,55,0,55
1,20240228,Standard,55,3,52
1,20240229,Standard,55,0,55
1,20240301,Standard,55,3,52
1,20240302,Standard,55,1,54
1,20240303,Standard,55,2,53
1,20240304,Standard,55,2,53
1,20240305,Standard,55,4,51
1,20240306,Standard,55,1,54
1,20240307,Standard,55,3,52
1,20240308,Standard,55,1,54
1,20240309,Standard,55,1,54
1,20240310,Standard,55,2,53
1,20240311,Standard,55,0,55
1,20240312,Standard,55,1,54
1,20240313,Standard,55,2,53
1,20240314,Standard,55,1,54
1,20240315,Standard,55,0,55
1,20240316,Standard,55,1,54
1,20240317,Standard,55,2,53
1,20240318,Standard,55,2,53
1,20240319,Standard,55,3,52
1,20240320,Standard,55,3,52
1,20240321,Standard,55,3,52
1,20240322,Standard,55,2,53
1,20240323,Standard,55,4,51
1,20240324,Standard,55,2,53
1,20240325,Standard,55,4,51
1,20240326,Standard,55,4,51
1,20240327,Standard,55,4,51
1,20240328,Standard,55,4,51
1,20240329,Standard,55,2,53
1,20240330,Standard,55,2,53
1,20240331,Standard,55,0,55
1,20240401,Standard,55,1,54
1,20240402,Standard,55,3,52
1,20240403,Standard,55,3,52
1,20240404,Standard,55,0,55
1,20240405,Standard,55,2,53
1,20240406,Standard,55,1,54
1,20240407,Standard,55,2,53
1,20240408,Standard,55,2,53
1,20240409,Standard,55,2,53
1,20240410,Standard,55,1,54
1,20240411,Standard,55,1,54
1,20240412,Standard,55,2,53
1,20240413,Standard,55,0,55
1,20240414,Standard,55,3,52
1,20240415,Standard,55,4,51
1,20240416,Standard,55,2,53
1,20240417,Standard,55,4,51
1,20240418,Standard,55,2,53
1,20240419,Standard,55,2,53
1,20240420,Standard,55,1,54
1,20240421,Standard,55,0,55
1,20240422,Standard,55,3,52
1,20240423,Standard,55,6,49
1,20240424,Standard,55,3,52
1,20240425,Standard,55,1,54
1,20240426,Standard,55,1,54
1,20240427,Standard,55,0,55
1,20240428,Standard,55,5,50
1,20240429,Standard,55,1,54
1,20240430,Standard,55,3,52
1,20240501,Standard,55,1,54
1,20240502,Standard,55,0,55
1,20240503,Standard,55,3,52
