pagamento_id,reserva_id,data_pagamento_id,forma_pagamento,valor_pago,status_pagamento,taxa_gateway
1,1,20240224,Crédito,892.93,Aprovado,25.0
2,3,20241225,Crédito,218.23,Estornado,6.11
3,3,20241226,Crédito,224.66,Aprovado,6.29
4,4,20250319,PIX,263.71,Aprovado,3.16
5,6,20240404,Crédito,3415.63,Aprovado,95.64
6,7,20240816,Crédito,1405.03,Aprovado,39.34
7,10,20250228,Débito,2426.64,Aprovado,67.95
8,11,20241213,Crédito,332.1,Aprovado,9.3
9,11,20241216,Crédito,338.64,Aprovado,9.48
10,12,20250724,PIX,871.91,Aprovado,10.46
11,13,20250428,Crédito,2117.41,Aprovado,59.29
12,14,20250224,Crédito,800.51,Aprovado,22.41
13,16,20241030,PIX,1741.17,Aprovado,20.89
14,18,20240623,Débito,103.97,Aprovado,2.91
15,20,20250805,Crédito,476.88,Aprovado,13.35
16,21,20240323,PIX,580.76,Aprovado,6.97
17,22,20251218,Débito,322.53,Aprovado,9.03
18,23,20250726,Débito,375.68,Aprovado,10.52
19,24,20250710,Crédito,2237.84,Aprovado,62.66
20,26,20240522,Crédito,586.72,Aprovado,16.43
21,27,20250305,Débito,801.09,Aprovado,22.43
22,28,20250728,PIX,228.54,Aprovado,2.74
23,29,20250122,PIX,304.23,Aprovado,3.65
24,30,20240621,PIX,537.29,Aprovado,6.45
25,31,20240409,PIX,451.4,Aprovado,5.42
26,33,20251217,Crédito,1115.24,Aprovado,31.23
27,34,20250422,Crédito,363.61,Aprovado,10.18
28,35,20250213,PIX,322.62,Aprovado,3.87
29,36,20250621,Crédito,611.56,Aprovado,17.12
30,37,20240728,PIX,470.84,Aprovado,5.65
31,38,20240821,PIX,318.09,Aprovado,3.82
32,39,20250412,Crédito,383.14,Aprovado,10.73
33,40,20250627,Crédito,1627.02,Aprovado,45.56
34,41,20250208,Crédito,842.57,Estornado,23.59
35,42,20240828,Crédito,2408.94,Aprovado,67.45
36,43,20240815,Boleto,106.17,Aprovado,1.27
37,44,20250819,Crédito,626.87,Aprovado,17.55
38,45,20251013,PIX,922.49,Aprovado,11.07
39,45,20251011,Crédito,912.15,Aprovado,25.54
40,46,20250803,PIX,1201.44,Aprovado,14.42
41,47,20250823,Boleto,941.46,Aprovado,11.3
42,48,20241016,Crédito,1585.72,Aprovado,44.4
43,49,20250719,PIX,662.64,Aprovado,7.95
44,50,20250225,Crédito,1566.24,Aprovado,43.85
45,52,20250112,Crédito,1908.05,Aprovado,53.43
46,53,20240625,PIX,460.42,Aprovado,5.53
47,54,20250713,PIX,141.17,Aprovado,1.69
48,54,20250709,PIX,138.16,Aprovado,1.66
49,55,20250420,PIX,1903.11,Aprovado,22.84
50,56,20240528,Boleto,350.42,Aprovado,4.2
51,58,20250312,Boleto,424.06,Aprovado,5.09
52,58,20250313,Crédito,420.38,Aprovado,11.77
53,59,20240517,Crédito,239.74,Aprovado,6.71
54,61,20250207,Débito,1811.19,Aprovado,50.71
55,63,20240815,Crédito,977.46,Aprovado,27.37
56,64,20250809,PIX,613.01,Aprovado,7.36
57,66,20240209,Crédito,4590.04,Aprovado,128.52
58,67,20251005,Débito,611.31,Estornado,17.12
59,68,20251203,Crédito,422.1,Aprovado,11.82
60,69,20250729,PIX,348.96,Aprovado,4.19
61,70,20240408,Crédito,1346.75,Aprovado,37.71
62,71,20240914,PIX,739.75,Aprovado,8.88
63,72,20240415,PIX,286.65,Aprovado,3.44
64,73,20251006,Crédito,89.27,Aprovado,2.5
65,74,20240614,Crédito,772.8,Aprovado,21.64
66,76,20250824,Débito,310.85,Aprovado,8.7
67,77,20250722,PIX,1702.11,Aprovado,20.43
